floor, ceiling;一
dog tag;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/dog%20tag.png}}
city walls;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/city%20walls.png}}
drag;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/drag.png}}
clothes hanger;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/clothes%20hanger.png}}
animal tracks;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/animal%20tracks.png}}
dice, turn;番
lock of hair;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/lock%20of%20hair.png}}
tail feathers;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/tail%20feathers.png}}
hairpin;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/hairpin.png}}
hair;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/hair.png}}
mane;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mane.png}}
owl;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/owl.png}}
migrating ducks;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/migrating%20ducks.png}}
mountain goat;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mountain%20goat.png}}
condor;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/condor.png}}
skunk;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/skunk.png}}
rabbit;免
horse;馬
tiger;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/tiger.png}}
deer;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/deer.png}}
painting of a deer;鹿
golden calf;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/gold%20calf.png}}
